,0.5,0.6,0.7,0.8,0.9,1
1247,,,,,98.40408898,4.042817328
1248,,7361.7645,,,,
1249,,,,,,4.042817328
1250,,,,,,
1251,,,,,,4.042817328
1252,,,1541.226068,,,
1253,,,,,,4.042817328
1254,,,,,,4.042817328
1255,,,,,,
1256,,,,,,
1257,,,,,,
1258,,,,,,4.042817328
1259,,,,503.0873809,,
1260,,,,,,
1261,,,,,,4.042817328
1262,,,,,,
1263,11146.90784,,,,89.1403707,4.042817328
1264,,,,,,
1265,,7361.7645,,,,4.042817328
1266,,,,,,
1267,,,,,,
1268,,,,,,3.329434999
1269,,,,,,3.329434999
1270,,,,,,
1271,,,,,,
1272,,,,,,
1273,,,1541.226068,,,3.329434999
1274,,,,,,
1275,,,,503.0873809,,
1276,,,,,,3.329434999
1277,,,,,,
1278,,,,,,
1279,,7361.7645,,,,3.329434999
1280,,,,,,
1281,,,,,,
1282,,,,,89.1403707,3.329434999
1283,5440.621055,,,,,
1284,,,,,,3.329434999
1285,,,,,,3.329434999
1286,,,,,,
1287,,,,,,
1288,,,,399.2335489,,
1289,,,,,,3.329434999
1290,,,,,,
1291,,,,,,
1292,,,,,,
1293,,,1476.715289,,,3.329434999
1294,,,,,,
1295,,,,,,
1296,,,,,,
1297,5440.621055,,,,,
1298,,7381.767934,,,,
1299,,,,,89.1403707,
1300,,,,,,
1301,,,,,,3.329434999
1302,,,,,,
1303,,,,,,
1304,,,,,,
1305,,,,,,
1306,,,,,,3.329434999
1307,,,,,,
1308,,,,,,3.329434999
